reviewText,label
This product is amazing! I love it so much. Highly recommended.,Genuine
Terrible product. It broke after one day. Do not buy.,Genuine
"Very good quality, arrived on time.",Genuine
Worst purchase ever. Complete waste of money.,Genuine
I am very satisfied with this purchase. Works perfectly.,Genuine
SCAM! DO NOT BUY! FAKE PRODUCT!,Fake
Excellent customer service and great item.,Genuine
"Cheap material, broke instantly.",Genuine
Get 50% off if you click this link now! Great product!,Fake
"This is an honest review. The product is okay, not great but does the job.",Genuine
"Wow, best thing ever. I will buy 100 more.",Fake
Horrible experience. The seller never responded.,Genuine
Make money fast working from home! Click here! Good product.,Fake
I really enjoyed using this. It is quite durable.,Genuine
Fake fake fake! Do not trust the seller.,Fake
